Word,Type
one,Count
two,Count
one,Count
two,Count
three,Count
four,Count
five,Count
six,Count
seven,Count
eight,Count
nine,Count
ten,Count
eleven,Count
twelve,Count
thirteen,Count
fourteen,Count
fifteen,Count
sixteen,Count
seventeen,Count
eighteen,Count
nineteen,Count
twenty,Count
twenty-one,Count
twenty-two,Count
twenty-three,Count
twenty-four,Count
twenty-five,Count
twenty-six,Count
twenty-seven,Count
twenty-eight,Count
twenty-nine,Count
thirty,Count
thirty-one,Count
1800,Year
1801,Year
1802,Year
1803,Year
1804,Year
1805,Year
1806,Year
1807,Year
1808,Year
1809,Year
1810,Year
1811,Year
1812,Year
1813,Year
1814,Year
1815,Year
1816,Year
1817,Year
1818,Year
1819,Year
1820,Year
1821,Year
1822,Year
1823,Year
1824,Year
1825,Year
1826,Year
1827,Year
1828,Year
1829,Year
1830,Year
1831,Year
1832,Year
1833,Year
1834,Year
1835,Year
1836,Year
1837,Year
1838,Year
1839,Year
1840,Year
1841,Year
1842,Year
1843,Year
1844,Year
1845,Year
1846,Year
1847,Year
1848,Year
1849,Year
1850,Year
1851,Year
1852,Year
1853,Year
1854,Year
1855,Year
1856,Year
1857,Year
1858,Year
1859,Year
1860,Year
1861,Year
1862,Year
1863,Year
1864,Year
1865,Year
1866,Year
1867,Year
1868,Year
1869,Year
1870,Year
1871,Year
1872,Year
1873,Year
1874,Year
1875,Year
1876,Year
1877,Year
1878,Year
1879,Year
1880,Year
1881,Year
1882,Year
1883,Year
1884,Year
1885,Year
1886,Year
1887,Year
1888,Year
1889,Year
1890,Year
1891,Year
1892,Year
1893,Year
1894,Year
1895,Year
1896,Year
1897,Year
1898,Year
1899,Year
1900,Year
1901,Year
1902,Year
1903,Year
1904,Year
1905,Year
1906,Year
1907,Year
1908,Year
1909,Year
1910,Year
1911,Year
1912,Year
1913,Year
1914,Year
1915,Year
1916,Year
1917,Year
1918,Year
1919,Year
1920,Year
1921,Year
1922,Year
1923,Year
1924,Year
1925,Year
1926,Year
1927,Year
1928,Year
1929,Year
1930,Year
1931,Year
1932,Year
1933,Year
1934,Year
1935,Year
1936,Year
1937,Year
1938,Year
1939,Year
1940,Year
1941,Year
1942,Year
1943,Year
1944,Year
1945,Year
1946,Year
1947,Year
1948,Year
1949,Year
1950,Year
1951,Year
1952,Year
1953,Year
1954,Year
1955,Year
1956,Year
1957,Year
1958,Year
1959,Year
1960,Year
1961,Year
1962,Year
1963,Year
1964,Year
1965,Year
1966,Year
1967,Year
1968,Year
1969,Year
1970,Year
1971,Year
1972,Year
1973,Year
1974,Year
1975,Year
1976,Year
1977,Year
1978,Year
1979,Year
1980,Year
1981,Year
1982,Year
1983,Year
1984,Year
1985,Year
1986,Year
1987,Year
1988,Year
1989,Year
1990,Year
1991,Year
1992,Year
1993,Year
1994,Year
1995,Year
1996,Year
1997,Year
1998,Year
1999,Year
2000,Year
2001,Year
2002,Year
2003,Year
2004,Year
2005,Year
2006,Year
2007,Year
2008,Year
2009,Year
2010,Year
2011,Year
2012,Year
2013,Year
2014,Year
2015,Year
2016,Year
2017,Year
2018,Year
2019,Year
2020,Year
1,Count
2,Count
3,Count
4,Count
5,Count
6,Count
7,Count
8,Count
9,Count
10,Count
11,Count
12,Count
13,Count
14,Count
15,Count
16,Count
17,Count
18,Count
19,Count
20,Count
21,Count
22,Count
23,Count
24,Count
25,Count
26,Count
27,Count
28,Count
29,Count
30,Count
31,Count
32,Count
33,Count
34,Count
35,Count
36,Count
37,Count
38,Count
39,Count
40,Count
41,Count
42,Count
43,Count
44,Count
45,Count
46,Count
47,Count
48,Count
49,Count
50,Count
51,Count
52,Count
53,Count
54,Count
55,Count
56,Count
57,Count
58,Count
59,Count
60,Count
61,Count
62,Count
63,Count
64,Count
65,Count
66,Count
67,Count
68,Count
69,Count
70,Count
71,Count
72,Count
73,Count
74,Count
75,Count
76,Count
77,Count
78,Count
79,Count
80,Count
81,Count
82,Count
83,Count
84,Count
85,Count
86,Count
87,Count
88,Count
89,Count
90,Count
91,Count
92,Count
93,Count
94,Count
95,Count
96,Count
97,Count
98,Count
99,Count
100,Count
101,Count
102,Count
103,Count
104,Count
105,Count
106,Count
107,Count
108,Count
109,Count
110,Count
111,Count
112,Count
113,Count
114,Count
115,Count
