Word,Type
Aaira,Person
Aiza,Person
Anabia,Person
Ayesha,Person
Hoorain,Person
Abeeha,Person
Haniya,Person
Maryam,Person
Fatima,Person
Mirha,Person
Zainab,Person
Abeeha,Person
Sana,Person
Anabia,Person
Hania,Person
Ayesha,Person
Aqsa,Person
Zainab,Person
Ayat,Person
Zoya,Person
Haniya,Person
Inaya,Person
Laiba,Person
Mishal,Person
Zara,Person
Maira,Person
Abrash,Person
Zoya,Person
Hoorain,Person
Laiba,Person
Bushra,Person
Bareera,Person
Bisma,Person
Batool,Person
Bibi,Person
Bano,Person
Benazir,Person
Beenish,Person
Dua,Person
Dania,Person
Daneen,Person
Diya,Person
Darakhshan,Person
Doha,Person
Dahlia,Person
Deena,Person
Eshaal,Person
Eliza,Person
Elma,Person
Eshal,Person
Emma,Person
Erum,Person
Elisha,Person
Eiman,Person
Fatima,Person
Fabeha,Person
Fiza,Person
Faiza,Person
Farheen,Person
Farzana,Person
Faryal,Person
Faria,Person
Gul Afshan,Person
Gulnaz,Person
Ghazala,Person
Gul,Person
Gulshan,Person
Ghana,Person
Ghania,Person
Gulnar,Person
Haniya,Person
Hareem,Person
Hoorain,Person
Hafsa,Person
Humaira,Person
Hiba,Person
Haram,Person
Humna,Person
Hira,Person
Inaya,Person
Isha,Person
Iqra,Person
Ifra,Person
Iram,Person
Insiya,Person
Inayah,Person
Izzah,Person
Kashaf,Person
Khadija,Person
Kinza,Person
Komal,Person
Kainaat,Person
Kiran,Person
Kausar,Person
Kubra,Person
Laiba,Person
Lubna,Person
Liza,Person
Laraib,Person
Lucy,Person
Lamia,Person
Liyana,Person
Laila,Person
Laiba,Person
Lubna,Person
Liza,Person
Laraib,Person
Lucy,Person
Lamia,Person
Liyana,Person
Laila,Person
Maira,Person
Mahira,Person
Mahnoor,Person
Muntaha,Person
Maryam,Person
Manahil,Person
Maham,Person
Maria,Person
Neha,Person
Naira,Person
Nisha,Person
Nazia,Person
Noor,Person
Nida,Person
Namra,Person
Nasreen,Person
Omnia,Person
Omera,Person
Oma,Person
Ozra,Person
Olya,Person
Ozge,Person
Orail,Person
Ozza,Person
Parveen,Person
Palwasha,Person
Paras,Person
Parvin,Person
Pareesa,Person
Pakiza,Person
Paro,Person
Pari,Person
Qurat ul AIn,Person
Qirat,Person
Qudsia,Person
Qandil,Person
Quraisha,Person
Qamar,Person
Qaria,Person
Qara,Person
Rumaisa,Person
Rimsha,Person
Rabia,Person
Rida,Person
Ruhi,Person
Rubina,Person
Rukhsar,Person
Reena,Person
Sana,Person
Sara,Person
Sadia,Person
Sidra,Person
Saba,Person
Saira,Person
Saima,Person
Sofia,Person
Tanisha,Person
Tania,Person
Tanveer,Person
Tuba,Person
Tahreem,Person
Tooba,Person
Tabeer,Person
Tayyaba,Person
Umaima,Person
Urwa,Person
Uzma,Person
Uswa,Person
Umaira,Person
Urooj,Person
Umm e kulsum,Person
Unaiza,Person
Zoya,Person
Zainab,Person
Zara,Person
Zonaira,Person
Zaira,Person
Zoha,Person
Zeenat,Person
Zahra,Person
Yusra,Person
Yumna,Person
Yasmin,Person
Yasmeen,Person
Yoan,Person
Yamna,Person
Yara,Person
Yamini,Person
Wareesha,Person
Wajiha,Person
Wafa,Person
Waniya,Person
Warda,Person
Wajeeha,Person
Wardah,Person
Warina,Person
Arham,Person
Ayaan,Person
Aryan,Person
Ayan,Person
Azlan,Person
Anas,Person
Ali,Person
Aayan,Person
Bilal,Person
Balaj,Person
Burhan,Person
Babul,Person
Babu,Person
Basit,Person
Baber,Person
Bismil,Person
Casper,Person
Choudhary,Person
Chacha,Person
Caleb,Person
Chishti,Person
Cyrus,Person
Chahal,Person
Cid,Person
Danish,Person
Daniyal,Person
Dawood,Person
Dayyan,Person
Daud,Person
Diyan,Person
Du'a,Person
Dilbar,Person
Eshan,Person
Ehan,Person
Eman,Person
Ejaz,Person
Ehsan,Person
Eshaan,Person
Emad,Person
Esa,Person
Faizan,Person
Fahad,Person
Farhan,Person
Faisal,Person
Faiz,Person
Faris,Person
Farooq,Person
Faraz,Person
Ghufran,Person
Gulfam,Person
Gulzar,Person
Ghalib,Person
Ghulam,Person
Ghaus,Person
Gilani,Person
Ghazi,Person
Huzaifa,Person
Hamza,Person
Hamdan,Person
Haris,Person
Husnain,Person
Hashir,Person
Hasan,Person
Hadi,Person
Imran,Person
Irfan,Person
Irtaza,Person
Ibrahim,Person
Ismail,Person
Islam,Person
Izhaan,Person
Izaan,Person
Junaid,Person
Javed,Person
Jibran,Person
Jawad,Person
Jasim,Person
Jaish,Person
Jaza,Person
Jahanzeb,Person
Kashif,Person
Kaif,Person
Kiyan,Person
